Unnamed: 0,Issuer.Ticker,Issuer.Name,Sales...1.Yr.Growth,Profit.Margin,Return.on.Assets,Offer.Size..M.,Shares.Outstanding..M.,Offer.Price,Offer.To.1st.Close,Market.Cap.at.Offer..M.,Trade.Date..US.,cusip,Cash.Flow.per.Share,Instit.Owner....Shares.Out.,Instit.Owner..Shares.Held.,Month.Date,Month.of.Quarter,Real.GDP.Per.Capita,OECD.Leading.Indicator,Interest.Rate,Seasonally.Adjusted.Unemployment.Rate,CPI.Growth.Rate,Filing.Term.Price.Range,Priced.Range,Industry.Sector,Industry.Group,Industry.Subgroup,Underpriced,price_1yr,X1_year_return,X1_year_up,actual_date_1yr,days_from_ipo,status,1_Year_excess_return,1_day_excess_return
1,AAOI,Applied Optoelectronics Inc,-9.8,-25.6,-13.8,41.4,13.1496,10.0,-0.400000006,131.5,9/26/13,03823U102,-0.4,43.5371,12418400.0,9/1/13,7/1/13,52284,100.6503359,0.75,7.388513748,0.116300449,13 - 15,Priced Below Range,8,31,49,0,16.81,68.1,1,2014-09-26,365,success,50.4609060477433,-0.748542568208176
2,AAT,American Assets Trust Inc,9.0,9.7,1.7,648.312,36.66,20.5,3.658536673,751.53,1/13/11,24013104,2.8,92.4327,55947800.0,1/1/11,1/1/11,50646,100.2239092,0.75,9.228517755,0.476323005,19 - 21,Priced Within Range,3,3,50,1,12.71,-38.02,0,2012-01-13,365,success,-38.6992523471735,3.82961128393029
3,ABG,Asbury Automotive Group Inc,37.9,5.4,13.7,127.05,34.0,16.5,1.818181872,561.0,3/14/02,43436104,58.4,113.082,25028500.0,3/1/02,1/1/02,46683,99.42674768,1.25,5.882196236,0.562429696,15 - 17,Priced Within Range,5,17,51,1,5.52,-66.52,0,2003-03-14,365,success,-36.2651931588995,1.90915632208026
4,ABNB,Airbnb Inc,77.3,-5.8,10.9,3830.0,103.683,68.0,112.8088226,7050.44,12/10/20,9066101,3.5,68.7472,273783000.0,12/1/20,10/1/20,57005,99.71018332,0.25,6.897872332,0.094147847,56 - 60,Priced Above Range,4,8,9,1,180.42,165.32,1,2021-12-10,365,success,137.155287058734,112.937333387695
5,ABR,Arbor Realty Trust Inc,32.3,42.4,2.2,135.874,14.9496,20.0,2.5,298.99,4/7/04,38923108,1.5,42.1671,72326500.0,4/1/04,4/1/04,48905,101.0072146,2.0,5.662633096,0.320170758,19 - 21,Priced Within Range,3,3,6,1,4.61,-76.97,0,2005-04-07,365,success,-80.787516057703,3.16454194311383
6,ACAD,ACADIA Pharmaceuticals Inc,9.6,-34.6,-32.9,35.0,16.8457,7.0,-4.285714149,117.92,5/27/04,4225108,-0.7,99.0587,160407000.0,5/1/04,4/1/04,48905,100.9690499,2.0,5.649825354,0.585106383,14-Dec,Priced Below Range,0,21,29,0,8.65,23.57,1,2005-05-27,365,success,17.440399969462,-4.85436253685069
7,ACET,Adicet Bio Inc,-45.6,-637.1,-18.2,97.7505,28.0463,15.0,12.53333378,420.695,1/26/18,7002108,-1.6,97.4117,41742200.0,1/1/18,1/1/18,56195,100.4818485,2.0,4.134060502,0.544774545,14 - 16,Priced Within Range,0,21,29,1,59.43,296.2,1,2019-01-28,367,success,303.44397896614,11.3492141357277
8,ACI,Albertsons Cos Inc,3.1,2.2,6.0,800.0,479.027,16.0,-3.4375,7664.43,6/26/20,13091103,7.4,83.2054,445204000.0,6/1/20,4/1/20,52394,96.38894556,0.25,10.71621054,0.547204693,18 - 20,Priced Below Range,0,10,53,0,13.83,-13.57,0,2021-06-28,367,success,-55.358609844422,-1.01480949367879
9,ACLS,Axcelis Technologies Inc,39.5,14.8,20.2,375.1,97.05,22.0,8.806818008,2135.1,7/11/00,54540208,4.4,92.5295,30394700.0,7/1/00,7/1/00,46624,100.5207065,6.0,4.063214054,0.232018561,20 - 22,Priced Within Range,1,4,54,1,51.96,136.18,1,2001-07-11,365,success,155.229482405565,8.45035699379423
10,ACM,AECOM,0.7,1.3,2.5,808.45,97.6077,20.0,5.5,1952.15,5/10/07,00766T100,5.0,90.9836,127058000.0,5/1/07,4/1/07,51705,101.897221,6.25,4.507395483,0.611071867,18 - 20,Priced Within Range,8,32,55,1,28.55,42.73,1,2008-05-09,365,success,49.3610436631647,6.89562770987823
11,ACMR,ACM Research Inc,65.8,14.5,5.3,12.5048,12.9355,5.6,8.035716057,72.4388,11/3/17,00108J109,-0.7,82.882,45065900.0,11/1/17,10/1/17,55877,100.3158857,1.75,4.25663681,0.002432469,7.50 - 9.50,Priced Below Range,1,4,54,1,3.33,-40.54,0,2018-11-05,367,success,-46.4341056561915,7.72600852762866
12,ACRE,Ares Commercial Real Estate Co,13.0,39.7,1.7,142.45,9.235,18.5,-2.702702761,170.85,4/26/12,04013V108,1.1,51.7759,28188200.0,4/1/12,4/1/12,51702,99.90659148,0.75,8.305796918,0.30210295,19 - 20,Priced Below Range,3,3,6,0,4.67,-74.78,0,2013-04-26,365,success,-87.798758311101,-3.37071931351205
13,ACRS,Aclaris Therapeutics Inc,4.3,-1343.9,-30.9,63.25,20.1575,11.0,0.454545468,221.732,10/7/15,00461U105,-0.9,105.571,70398100.0,10/1/15,10/1/15,54045,99.52145458,0.75,5.19705592,-0.044968375,14 - 16,Priced Below Range,0,13,15,1,24.62,123.82,1,2016-10-06,365,success,116.070841133281,-0.34901789044034
14,ADMA,ADMA Biologics Inc,91.7,-88.5,-27.6,28.4996,9.2239,8.5,0.588235319,78.4,10/17/13,899104,-0.8,85.5999,168441000.0,10/1/13,10/1/13,52544,100.65078,0.75,7.416395048,-0.257528326,8.50 - 9.50,Priced Within Range,0,21,29,1,11.75,38.24,1,2014-10-17,365,success,30.7772896628134,-0.0861599745735375
15,ADPT,Adaptive Biotechnologies Corp,56.8,-134.3,-23.6,345.0,123.224,20.0,101.5,2464.48,6/27/19,00650F109,-1.3,96.5751,138114000.0,6/1/19,4/1/19,57418,99.43025865,3.0,3.689126149,0.019914718,18 - 19,Priced Above Range,0,22,32,1,46.29,131.45,1,2020-06-26,365,success,127.16235591591,101.117682430069
16,ADT,ADT Inc,-0.1,-6.4,-0.2,1470.0,748.949,14.0,-11.5,10485.3,1/19/18,00090Q103,2.0,93.666,804331000.0,1/1/18,1/1/18,56195,100.4818485,2.0,4.134060502,0.544774545,17 - 19,Priced Below Range,0,7,58,0,5.68,-59.42,0,2019-01-22,368,success,-53.2163888211141,-11.9385235280833
17,ADUS,Addus HomeCare Corp,13.0,5.2,4.7,54.0,10.4963,10.0,-15.10000038,104.96,10/28/09,6739106,2.5,109.328,17613100.0,10/1/09,10/1/09,49886,98.18717138,0.5,10.18384358,0.096310119,13-Nov,Priced Below Range,0,0,35,0,3.03,-69.7,0,2010-10-28,365,success,-83.4162760820412,-13.1459066310595
18,AEI,Alset Inc,21.9,-521.8,-71.8,15.12,8.56,7.0,-0.285714299,59.92,11/24/20,02115D109,-0.6,4.11907,6117120.0,11/1/20,10/1/20,57005,99.33764341,0.25,6.992358599,-0.061062722,7-Jun,Priced Within Range,3,34,59,0,31.8,354.29,1,2021-11-24,365,success,325.475366867647,-1.90188112017776
19,AFFY,Affymax Inc,-98.5,-1053.6,20.5,106.375,14.0138,25.0,35.52000046,350.34,12/15/06,00826A109,-1.8,0.00133369,500.0,12/1/06,10/1/06,51455,101.3989179,6.25,4.52174096,0.148883375,22 - 24,Priced Above Range,0,21,29,1,9.22,-63.13,0,2007-12-17,367,success,-65.9931681234875,35.4077600366211
20,AFIB,Acutus Medical Inc,103.9,-681.7,-67.4,182.646,26.1073,18.0,47.22222137,469.931,8/6/20,5111109,-3.4,61.6562,17542600.0,8/1/20,7/1/20,56484,98.41453353,0.25,8.302616451,0.315321052,16 - 18,Priced Within Range,0,22,61,1,15.47,-14.06,0,2021-08-06,365,success,-45.5156566924536,46.5794518314968
21,AGNC,AGNC Investment Corp,82.0,82.1,-2.7,200.0,15.0046,20.0,-3.25,300.09,5/15/08,00123Q104,2.9,47.2064,269842000.0,5/1/08,4/1/08,51923,100.5720601,2.25,5.539569455,0.842088603,20 - 20,Priced Within Range,3,3,6,0,1.83,-90.84,0,2009-05-15,365,success,-52.9317844875604,-4.30844644130793
22,AHGP,Alliance Holdings GP LP,-7.0,10.3,10.5,312.5,59.863,25.0,0.0,1496.58,5/10/06,01861G100,9.2,0.0232982,13947.0,5/1/06,4/1/06,51210,101.1215791,6.0,4.71660949,0.496277916,23 - 25,Priced Within Range,2,35,62,0,12.68,-49.28,0,2007-05-10,365,success,-63.6225167964776,0.172814870434657
23,AHH,Armada Hoffler Properties Inc,-25.9,8.9,2.2,218.543,17.2288,11.5,0.695652187,198.13,5/8/13,04208T108,1.5,92.0829,62367600.0,5/1/13,4/1/13,51982,100.4875479,0.75,7.705884828,0.178040777,13-Nov,Priced Within Range,3,3,50,1,4.69,-59.2,0,2014-05-08,365,success,-73.5952641648571,0.281744085852103
24,AI,C3.ai Inc,37.9,-75.9,-19.4,748.65,95.1556,42.0,120.2142868,3996.54,12/9/20,12468P104,-0.8,36.4372,38252300.0,12/1/20,10/1/20,57005,99.71018332,0.25,6.897872332,0.094147847,36 - 38,Priced Above Range,1,5,5,1,32.09,-23.6,0,2021-12-09,365,success,-51.2063055969994,121.009206970167
25,AIRG,Airgain Inc,32.5,-15.6,-18.2,12.0,7.2376,8.0,0.0,57.9008,8/12/16,00938A104,-1.1,57.1084,5838500.0,8/1/16,7/1/16,54549,99.24735392,1.0,4.938698083,0.091843011,10-Sep,Priced Below Range,4,23,34,0,9.91,23.87,1,2017-08-14,367,success,12.2329080699698,0.079604626654628
26,AIZ,Assurant Inc,6.1,13.4,0.9,2024.0,145.072,22.0,12.27272701,3191.58,2/5/04,04621X108,13.2,109.471,57835000.0,2/1/04,1/1/04,48633,100.9457332,2.0,5.666379165,0.539956803,20 - 22,Priced Within Range,3,18,25,1,23.18,5.35,1,2005-02-04,365,success,-0.373954398510056,12.088980075791
27,AKBA,Akebia Therapeutics Inc,-27.6,-132.4,-29.9,114.937,20.147,17.0,57.02941132,342.5,3/20/14,00972D105,-1.5,39.8157,73245700.0,3/1/14,1/1/14,52266,100.6756095,0.75,6.763461499,0.644004413,14 - 17,Priced Within Range,0,13,65,1,12.46,-26.71,0,2015-03-20,365,success,-38.8621780751589,56.4253608527639
28,AL,Air Lease Corp,3.6,20.9,-0.3,922.876,93.8468,26.5,5.471698284,2486.94,4/19/11,00912X302,12.0,105.795,117318000.0,4/1/11,4/1/11,50897,100.1934599,0.75,9.277005673,0.643942954,25 - 28,Priced Within Range,3,26,66,1,20.59,-22.29,0,2012-04-18,365,success,-28.2445058202469,4.89858123034809
29,ALEC,Alector Inc,881.5,-17.5,-16.1,185.051,68.8545,19.0,-5.263157845,1308.24,2/7/19,14442107,3.7,82.0064,67820600.0,2/1/19,1/1/19,57100,99.72456638,3.0,3.848682249,0.422705314,18 - 20,Priced Within Range,0,13,15,0,35.28,85.68,1,2020-02-07,365,success,62.4490958919141,-4.32744385219773
30,ALGM,Allegro MicroSystems Inc,30.0,15.5,13.3,402.5,189.432,14.0,26.4285717,2652.05,10/29/20,01749D105,0.8,50.5858,96774700.0,10/1/20,10/1/20,57005,98.98453016,0.25,7.145794405,0.041493776,14-Dec,Priced Within Range,1,4,54,1,33.36,138.29,1,2021-10-29,365,success,100.781577957651,25.2338386142891
31,ALGN,Align Technology Inc,59.9,19.5,8.8,138.173,45.6157,13.0,33.17307663,593.0,1/26/01,16255101,14.8,95.3796,74503300.0,1/1/01,1/1/01,46519,98.87571881,5.52,4.253849873,0.632183908,14 - 16,Priced Below Range,0,22,61,1,4.3,-66.92,0,2002-01-28,367,success,-49.1053194782691,33.3616615377459
32,ALGT,Allegiant Travel Co,72.5,8.8,-0.9,103.5,19.7959,18.0,39.44444275,356.33,12/8/06,01748X102,31.2,99.1849,18248600.0,12/1/06,10/1/06,51455,101.3989179,6.25,4.52174096,0.148883375,15 - 17,Priced Above Range,5,37,67,1,27.66,53.67,1,2007-12-10,367,success,46.944409132476,39.2632486159314
33,ALNY,Alnylam Pharmaceuticals Inc,71.3,-101.0,-33.7,34.5,19.2833,6.0,0.166666672,115.7,5/27/04,02043Q107,-5.4,115.012,141497000.0,5/1/04,4/1/04,48905,100.9690499,2.0,5.649825354,0.585106383,8-Jun,Priced Within Range,0,21,29,1,7.42,23.67,1,2005-05-27,365,success,17.5403999694621,-0.40198171585069
34,ALRM,Alarm.com Holdings Inc,21.1,6.9,3.5,112.7,45.3714,14.0,20.5714283,635.2,6/26/15,11642105,2.0,99.0231,49423200.0,6/1/15,4/1/15,54021,100.1249321,0.75,5.350969219,0.350287,13 - 15,Priced Within Range,0,7,58,1,23.86,70.43,1,2016-06-27,367,success,69.867062367354,20.6104362948716
35,ALRS,Alerus Financial Corp,-2.2,22.4,1.2,60.06,16.6761,21.0,4.761904716,350.198,9/13/19,01446U103,8.6,45.823,9158760.0,9/1/19,7/1/19,57845,99.2709694,2.5,3.572134909,0.078344858,22 - 24,Priced Below Range,3,9,44,1,18.85,-10.22,0,2020-09-14,367,success,-21.2528244692282,4.83434612625927
36,ALSN,Allison Transmission Holdings,15.4,18.4,11.1,690.345,181.376,23.0,1.739130378,4171.65,3/15/12,01973R101,5.9,114.241,105662000.0,3/1/12,1/1/12,51559,99.92363477,0.75,8.317498152,0.759455862,22 - 24,Priced Within Range,5,38,69,1,19.22,-16.41,0,2013-03-15,365,success,-27.6819219809826,1.14241043459185
37,AM,Antero Midstream Corp,-0.2,36.9,5.8,875.375,186.17,23.5,-6.382978916,4375.0,5/4/17,03676B102,1.4,86.0391,411684000.0,5/1/17,4/1/17,55057,99.9020738,1.5,4.399948582,0.085472183,22 - 25,Priced Within Range,2,2,2,0,8.14,-65.37,0,2018-05-04,365,success,-75.6712278591414,-6.44118919216193
38,AMBA,Ambarella Inc,48.8,-7.9,-6.6,41.4,25.9095,6.0,1.0,155.457,10/10/12,N.A.,1.0,97.7385,37548000.0,10/1/12,10/1/12,51634,99.71850812,0.75,8.014015423,-0.038892514,11-Sep,Priced Below Range,1,4,4,1,19.45,224.17,1,2013-10-10,365,success,206.020673668684,1.61880297498133
39,AMC,AMC Entertainment Holdings Inc,103.4,-50.2,-8.1,378.949,21.5533,18.0,5.0,387.96,12/18/13,00165C104,-1.2,32.6353,173527000.0,12/1/13,10/1/13,52544,100.6417272,0.75,6.837206606,-0.00858115,18 - 20,Priced Within Range,5,16,27,1,191.07,961.49,1,2014-12-18,365,success,952.53796819642,3.3352035934868
40,AMH,American Homes 4 Rent,10.2,14.5,2.0,811.763,184.857,16.0,-2.5,2957.71,8/1/13,02665T306,1.8,100.872,355886000.0,8/1/13,7/1/13,52284,100.641767,0.75,7.391202966,0.120293156,16 - 18,Priced Within Range,3,3,3,0,15.11,-5.56,0,2014-08-01,365,success,-20.9800350214722,-3.75405701095735
41,AMN,AMN Healthcare Services Inc,66.4,8.2,16.7,195.5,40.7146,17.0,27.41176414,692.15,11/13/01,1744101,6.4,112.655,48820200.0,11/1/01,10/1/01,46400,98.44499123,1.58,5.610148971,-0.16882386,14 - 16,Priced Above Range,0,7,73,1,16.33,-3.94,0,2002-11-13,365,success,19.1398243727133,25.5554238096154
42,AMPH,Amphastar Pharmaceuticals Inc,25.1,14.1,11.2,64.4,44.6059,7.0,25.0,312.24,6/25/14,03209R103,2.0,65.3957,31606500.0,6/1/14,4/1/14,52840,100.8107011,0.75,6.174444118,0.186212694,12-Oct,Priced Below Range,0,13,15,1,18.19,159.86,1,2015-06-25,365,success,151.456458356699,24.5102488693243
43,AMRC,Ameresco Inc,17.7,5.8,4.2,90.3971,40.7462,10.0,1.700000048,407.46,7/22/10,2.36E+111,-3.3,97.77,33157900.0,7/1/10,7/1/10,50706,99.58635413,0.75,9.506082108,0.021104306,14 - 16,Priced Below Range,7,39,74,1,14.43,44.3,1,2011-07-22,365,success,22.9901051849601,-0.551337264938095
44,AMSF,AMERISAFE Inc,-6.9,20.8,2.7,76.3717,17.4241,9.0,0.0,156.82,11/18/05,03071H100,1.9,103.985,19919200.0,11/1/05,10/1/05,50629,100.7991232,5.0,5.136890026,-0.803212851,11-Sep,Priced Within Range,3,18,25,0,5.51,-38.82,0,2006-11-20,367,success,-50.955995223213,-0.440132827835127
45,AMST,Amesite Inc,3.3,-1299.8,-84.8,15.0,20.4231,5.0,4.400000095,102.115,9/25/20,31094105,-0.2,4.98185,1509520.0,9/1/20,7/1/20,56484,98.66695103,0.25,8.083785823,0.139274694,4.50 - 5.50,Priced Within Range,1,5,24,1,21.84,336.8,1,2021-09-27,367,success,301.919479011314,2.80232771893624
46,AMTB,Amerant Bancorp Inc,10.3,34.6,1.3,84.877,26.344,13.0,-7.692307472,342.472,12/19/18,23576101,1.8,40.0257,13518400.0,12/1/18,10/1/18,56851,99.94885468,3.0,3.955038353,-0.319396282,13 - 13,Priced Within Range,3,26,76,0,21.04,61.84,1,2019-12-19,365,success,34.4937292312185,-6.15273602500441
47,ANAB,AnaptysBio Inc,-15.7,-91.4,-25.8,86.25,19.9093,15.0,13.33333302,298.639,1/26/17,32724106,-1.6,116.819,33213600.0,1/1/17,1/1/17,54866,99.76074483,1.25,4.769484484,0.582772789,14 - 16,Priced Within Range,0,21,29,1,106.84,612.27,1,2018-01-26,365,success,588.720349068492,13.4068714369633
48,ANCB,Anchor Bancorp Inc/WA,7.3,9.8,0.5,25.5,0.0,10.0,0.0,0.0,1/26/11,32838104,3.0,10.8023,268333.0,1/1/11,1/1/11,50646,100.2239092,0.75,9.228517755,0.476323005,10-Oct,Priced Within Range,3,9,70,0,8.57,-14.3,0,2012-01-26,365,success,-15.689757982656,-0.422090705561673
49,ANET,Arista Networks Inc,27.2,28.5,20.0,259.612,64.3699,43.0,27.9069767,2767.91,6/6/14,40413106,3.3,70.4188,215181000.0,6/1/14,4/1/14,52840,100.8107011,0.75,6.174444118,0.186212694,36 - 40,Priced Above Range,4,23,77,1,4.92,-88.56,0,2015-06-08,367,success,-96.0698567501855,27.4442008540417
50,ANGO,AngioDynamics Inc,8.6,-8.4,-5.8,24.6675,11.15,11.0,13.63636398,122.65,5/27/04,03475V101,-0.1,98.0723,38353900.0,5/1/04,4/1/04,48905,100.9690499,2.0,5.649825354,0.585106383,14-Dec,Priced Below Range,0,22,78,1,20.39,85.36,1,2005-05-27,365,success,79.230399969462,13.0677155921493
51,AOSL,Alpha & Omega Semiconductor Lt,18.3,58.2,39.5,91.5477,22.0875,18.0,-1.666666627,397.57,4/29/10,N.A.,8.1,83.3509,22844800.0,4/1/10,4/1/10,50424,99.72769411,0.75,10.14140777,0.173688491,17 - 19,Priced Within Range,1,4,4,0,14.18,-21.22,0,2011-04-29,365,success,-32.8592347921429,-2.9609894340565
52,APAM,Artisan Partners Asset Managem,36.4,27.4,22.3,381.369,12.7123,30.0,29.43333244,381.37,3/7/13,04316A108,6.6,92.5844,62875000.0,3/1/13,1/1/13,51998,100.2801151,0.75,7.574579728,0.261450858,27 - 29,Priced Above Range,3,26,39,1,23.57,-21.42,0,2014-03-07,365,success,-42.7603213750254,29.2516832845991
53,APEI,American Public Education Inc,30.1,4.2,-14.3,107.812,17.7519,20.0,79.59999847,355.04,11/8/07,02913V103,0.9,111.478,21060400.0,11/1/07,10/1/07,52066,101.5178052,5.0,4.772251125,0.593961787,18 - 19,Priced Above Range,0,7,79,1,46.02,130.1,1,2008-11-07,365,success,165.495349337248,79.6575996818893
54,APLP,Archrock Partners LP,15.3,8.5,2.5,132.825,7.15,21.0,7.285714149,150.15,10/17/06,03957U100,3.2,100.0,70231000.0,10/1/06,10/1/06,51455,101.1917389,6.25,4.45357667,-0.542138985,19 - 21,Priced Within Range,2,29,46,1,11.99,-42.89,0,2007-10-17,365,success,-55.6813180405597,7.65165938033334
55,APLS,Apellis Pharmaceuticals Inc,-73.4,-1121.2,-90.6,172.495,50.864,14.0,0.214285716,712.096,11/9/17,03753U106,-6.6,107.752,119147000.0,11/1/17,10/1/17,55877,100.3158857,1.75,4.25663681,0.002432469,13 - 15,Priced Within Range,0,21,29,1,14.85,6.07,1,2018-11-09,365,success,-2.80054056772243,0.590474494827347
56,APPF,Appfolio Inc,15.9,0.2,-12.5,85.56,7.13,12.0,17.33333397,85.56,6/26/15,03783C100,1.0,86.6012,17679400.0,6/1/15,4/1/15,54021,100.1249321,0.75,5.350969219,0.350287,14-Dec,Priced Within Range,1,5,5,1,13.46,12.17,1,2016-06-27,367,success,11.6070623673539,17.3723419648716
57,APPN,Appian Corp,21.2,-24.0,-30.0,86.25,7.1875,12.0,25.08333397,704.255,5/25/17,03782L101,-0.7,81.8299,33591000.0,5/1/17,4/1/17,55057,99.9020738,1.5,4.399948582,0.085472183,13-Nov,Priced Within Range,1,5,81,1,31.19,159.92,1,2018-05-25,365,success,146.743571903091,24.6391391648607
58,APTI,Apptio Inc,17.4,-13.5,-7.9,110.4,6.9,16.0,40.9375,596.573,9/23/16,03835C108,0.2,0.302104,137660.0,9/1/16,7/1/16,54549,99.32291136,1.0,5.067702195,0.240399586,13 - 15,Priced Above Range,1,5,81,1,17.3,8.12,1,2017-09-25,367,success,-7.39770305011084,41.5111774814255
59,AQST,Aquestive Therapeutics Inc,10.8,-138.7,-121.2,73.8855,24.4257,15.0,7.0,366.385,7/25/18,3.84E+107,-0.8,30.0102,16252300.0,7/1/18,7/1/18,56831,100.5899154,2.5,3.862981324,0.006746326,14 - 16,Priced Within Range,0,13,15,1,3.6,-76.0,0,2019-07-25,365,success,-82.0957737109373,6.08983949468313
60,AR,Antero Resources Corp,27.3,-3.4,14.8,1802.41,265.624,44.0,18.20454597,11687.5,10/10/13,03674X106,5.3,89.9989,270119000.0,10/1/13,10/1/13,52544,100.65078,0.75,7.416395048,-0.257528326,38 - 42,Priced Above Range,2,28,43,1,47.38,7.68,1,2014-10-10,365,success,-8.64615365881087,16.0214963155646
61,ARAY,Accuray Inc,8.4,-1.2,-2.0,331.2,52.2124,18.0,58.16666794,939.82,2/8/07,4397105,-0.02606,66.3886,62258400.0,2/1/07,1/1/07,51492,101.6073514,6.25,4.611606375,0.535036756,17 - 18,Priced Within Range,0,22,61,1,11.31,-37.17,0,2008-02-08,365,success,-28.7560483573428,58.2845946566256
62,ARCC,Ares Capital Corp,20.4,86.1,3.9,165.0,17.0168,15.0,0.13333334,255.25,10/5/04,04010L103,-5.5,34.4133,178075000.0,10/1/04,10/1/04,49623,100.5370284,2.75,5.523151518,0.526592944,15 - 15,Priced Within Range,3,24,37,1,1.94,-87.05,0,2005-10-05,365,success,-95.3648297601514,0.194122822919077
63,ARDS,Aridis Pharmaceuticals Inc,53.5,-2748.7,-324.5,28.5064,7.9994,13.0,0.0,103.992,8/14/18,40334104,-1.8,17.2665,3056440.0,8/1/18,7/1/18,56831,100.5227439,2.5,3.835982303,0.055554233,13 - 15,Priced Within Range,0,21,29,0,8.38,-35.58,0,2019-08-14,365,success,-38.6208917092476,-0.638925467126028
64,ARDX,Ardelyx Inc,33.3,-1566.4,-80.1,69.0046,18.5291,14.0,0.785714269,259.41,6/19/14,39697107,-1.4,41.4247,77654600.0,6/1/14,4/1/14,52840,100.8107011,0.75,6.174444118,0.186212694,13 - 15,Priced Within Range,0,21,29,1,16.48,17.71,1,2015-06-19,365,success,10.5162566375391,0.657966411303464
65,ARES,Ares Management Corp,108.4,8.7,0.8,220.199,80.6677,19.0,-2.105263233,1532.69,5/2/14,03990B101,-15.8,99.8473,173155000.0,5/1/14,4/1/14,52840,100.7710708,0.75,6.397136369,0.349260984,21 - 23,Priced Below Range,3,41,87,0,11.78,-37.98,0,2015-05-04,367,success,-48.8441564886386,-1.97041873036771
66,ARI,Apollo Commercial Real Estate,-2.8,56.5,3.4,200.0,21.525,20.0,-7.5,430.5,9/24/09,03762U105,1.4,67.7091,95196300.0,9/1/09,7/1/09,49473,97.75545488,0.5,9.999140225,0.062548069,20 - 20,Priced Within Range,3,3,6,0,3.09,-84.55,0,2010-09-24,365,success,-92.4964776352349,-6.54889703285462
67,ARII,American Railcar Industries In,-25.3,29.8,9.9,205.275,21.2078,21.0,9.309523582,445.36,1/20/06,02916P103,6.8,0.187871,35853.0,1/1/06,1/1/06,51200,101.0885803,5.5,4.753347115,0.762195122,16 - 18,Priced Above Range,8,42,88,1,22.19,5.65,1,2007-01-22,367,success,-7.74764971103734,11.1421551176155
68,ARLO,Arlo Technologies Inc,21.8,-12.8,-13.3,187.957,74.2473,16.0,38.125,1187.96,8/3/18,04206A101,-0.2,74.615,66013200.0,8/1/18,7/1/18,56831,100.5227439,2.5,3.835982303,0.055554233,18 - 20,Priced Below Range,0,7,89,1,3.91,-75.56,0,2019-08-05,367,success,-78.7884735274208,37.6605816974031
69,ARMK,Aramark,-5.7,-0.7,1.0,833.75,229.837,20.0,13.5,4596.74,12/12/13,03852U106,2.7,127.998,329873000.0,12/1/13,10/1/13,52544,100.6417272,0.75,6.837206606,-0.00858115,20 - 23,Priced Within Range,5,40,80,1,17.98,-10.09,0,2014-12-12,365,success,-24.2065877217685,13.8770562057067
70,AROPQ,ARO Liquidation Inc,-18.0,-9.0,-28.5,258.75,34.0405,18.0,54.16666794,612.73,5/16/02,00215Q103,-0.8,0.0345968,27900.0,5/1/02,4/1/02,46866,99.45832738,1.25,5.85679877,0.0,15 - 17,Priced Above Range,5,17,23,1,5.66,-68.56,0,2003-05-16,365,success,-54.0867153879737,53.51042825287
71,ARRY,Array Technologies Inc,-2.2,-5.9,-0.9,1201.75,126.994,22.0,65.6818161,2793.87,10/15/20,04271T100,-2.0,119.766,180236000.0,10/1/20,10/1/20,57005,98.98453016,0.25,7.145794405,0.041493776,19 - 21,Priced Above Range,2,15,19,1,18.87,-14.23,0,2021-10-15,365,success,-39.5063064976962,65.8345916310524
72,ARVN,Arvinas Inc,114.2,-408.9,-22.7,123.208,32.3592,16.0,0.3125,517.747,9/27/18,04335A105,11.1,98.1285,52231400.0,9/1/18,7/1/18,56831,100.4151294,2.75,3.746935562,0.116202518,14 - 16,Priced Within Range,0,13,90,1,22.75,42.19,1,2019-09-27,365,success,40.0067427247769,0.0361713014884701
73,ASO,Academy Sports & Outdoors Inc,19.0,9.9,13.8,226.622,89.9106,13.0,-0.07692308,1168.84,10/2/20,00402L107,7.4,104.718,83498700.0,10/1/20,10/1/20,57005,98.98453016,0.25,7.145794405,0.041493776,15 - 17,Priced Below Range,5,17,92,0,39.29,202.26,1,2021-10-04,367,success,173.616038389978,0.880842139199447
74,ASPN,Aspen Aerogels Inc,21.2,-30.5,-31.2,82.5,23.0,11.0,-2.272727251,253.0,6/13/14,04523Y105,-0.6,96.9333,39654900.0,6/1/14,4/1/14,52840,100.8107011,0.75,6.174444118,0.186212694,14 - 16,Priced Below Range,5,17,93,0,6.49,-41.0,0,2015-06-15,367,success,-49.9197209924435,-2.58618342950891
75,ATEC,Alphatec Holdings Inc,67.8,-59.3,-34.2,83.7,34.7602,9.0,-0.222222224,312.84,6/2/06,02081G201,-0.7,64.526,67790000.0,6/1/06,4/1/06,51210,101.0698362,6.25,4.703669147,0.197530864,12-Nov,Priced Below Range,0,22,61,0,43.92,388.0,1,2007-06-04,367,success,368.739314667867,-0.417445880667309
76,ATEN,A10 Networks Inc,10.8,37.9,10.8,187.5,59.029,15.0,8.066666603,885.44,3/21/14,2121101,0.6,110.71,81314300.0,3/1/14,1/1/14,52266,100.6756095,0.75,6.763461499,0.644004413,13 - 15,Priced Within Range,4,23,77,1,4.33,-71.13,0,2015-03-23,367,success,-83.0639732557489,8.3599337314167
